frame_num,risk_score,risk_level
45,0.0,LOW
46,10.47375039038105,LOW
47,15.945141571547557,LOW
48,18.208856178660668,LOW
49,19.567084942928535,LOW
50,21.05590411910711,LOW
51,22.08098633924947,LOW
52,22.81901096705317,LOW
53,22.566662422439858,LOW
54,23.123763186052116,LOW
55,23.431805511184503,LOW
56,23.1541426937472,LOW
57,22.912508415332468,LOW
58,22.69642358478609,LOW
59,22.502181218667083,LOW
60,23.81591634886486,LOW
61,23.736031577655655,LOW
62,23.269649498041755,LOW
63,22.93407402021271,LOW
64,22.83103377684782,LOW
65,22.491569585782187,LOW
66,22.165473765515735,LOW
67,21.663281673689557,LOW
68,21.710090069320664,LOW
69,21.250912065416504,LOW
70,20.900096814582614,LOW
71,20.976773367786816,LOW
72,21.05924689616311,LOW
73,21.150092176984227,LOW
74,21.247906304117496,LOW
75,21.350837840586383,LOW
76,21.450889226411455,LOW
77,21.774743043766648,LOW
78,22.09365185492903,LOW
79,22.180025431627254,LOW
80,22.642857773697607,LOW
81,23.126895343402893,LOW
82,23.692756641848156,LOW
83,24.07798433066672,LOW
84,24.07798433066672,LOW
85,24.0757293011464,LOW
86,24.710056125291587,LOW
87,24.70184596739579,LOW
88,24.689553349330023,LOW
89,24.674163953397137,LOW
90,24.657701025843604,LOW
91,25.113514716729654,LOW
92,25.33443612011918,LOW
93,25.554555936146507,LOW
94,25.540031700129493,LOW
95,25.152030728477545,LOW
96,24.506774554122135,LOW
97,23.972967017663944,LOW
98,23.567662143380648,LOW
99,23.546313408500954,LOW
100,23.528804961152886,LOW
101,22.87784339738169,LOW
102,22.870171120803505,LOW
103,22.8668734045131,LOW
104,22.86714472900646,LOW
105,23.10284168460964,LOW
106,22.864494358010862,LOW
111,22.64229951601125,LOW
112,22.428846366650593,LOW
123,22.69003726933427,LOW
124,23.184670089981502,LOW
125,23.67988587089116,LOW
126,24.174345309951665,LOW
127,24.667755828749726,LOW
128,24.929104563629426,LOW
129,25.188868040497816,LOW
130,25.445502780123828,LOW
131,26.005721874588023,LOW
132,26.261312208944197,LOW
133,26.749763613717054,LOW
134,27.003862919000735,LOW
135,26.786396554713466,LOW
136,26.55433665999022,LOW
137,26.31433665999022,LOW
138,25.83433665999022,LOW
139,25.121003326656883,LOW
140,24.647669993323554,LOW
141,24.174336659990217,LOW
142,23.70100332665688,LOW
143,23.461003326656886,LOW
144,23.221003326656884,LOW
145,22.981003326656886,LOW
146,22.436666666666667,LOW
147,22.196666666666665,LOW
148,21.723333333333336,LOW
149,21.25,LOW
150,21.490000000000002,LOW
151,21.730000000000004,LOW
152,21.970000000000006,LOW
153,22.210000000000004,LOW
154,22.21,LOW
155,22.21,LOW
156,22.45,LOW
157,22.69,LOW
158,22.930000000000003,LOW
159,23.410000000000004,LOW
160,23.89,LOW
161,24.369999999999997,LOW
163,24.849999999999998,LOW
164,24.849999999999998,LOW
172,24.85,LOW
173,24.61,LOW
174,24.369999999999997,LOW
175,24.363333333333333,LOW
176,24.356666666666666,LOW
177,24.35666666666667,LOW
178,24.59666666666667,LOW
179,24.59666666666667,LOW
184,24.35666666666667,LOW
185,24.11666666666667,LOW
186,23.636666666666667,LOW
187,23.15666666666667,LOW
188,23.156666666666663,LOW
189,23.156666666666663,LOW
190,23.156666666666663,LOW
191,23.156666666666663,LOW
195,23.389999999999997,LOW
196,23.389999999999997,LOW
197,23.156666666666663,LOW
198,23.4856658385338,LOW
199,24.15097371995657,LOW
200,24.384307053289902,LOW
201,24.384307053289902,LOW
202,24.624307053289904,LOW
203,24.86430705328991,LOW
204,25.104307053289908,LOW
205,25.344307053289906,LOW
215,25.344307053289906,LOW
216,25.577640386623234,LOW
217,26.29097371995657,LOW
218,27.0043070532899,LOW
219,27.250973719956562,LOW
220,27.730973719956566,LOW
221,28.67764038662323,LOW
222,29.06197454808943,LOW
223,28.636666666666663,LOW
224,28.876666666666665,LOW
225,29.349999999999998,LOW
230,29.678273985676135,LOW
231,29.438273985676133,LOW
232,29.619226646913987,LOW
233,30.089202917820025,UNKNOWN
234,30.30916702976613,UNKNOWN
235,30.543802019944927,UNKNOWN
236,31.508505275997624,MEDIUM
237,31.961838609330965,MEDIUM
238,32.88183860933096,MEDIUM
239,32.63517194266429,MEDIUM
240,31.921838609330962,MEDIUM
241,30.975171942664293,UNKNOWN
242,30.735171942664294,UNKNOWN
243,30.02183860933096,UNKNOWN
244,29.54183860933096,LOW
245,29.206897956988154,LOW
246,29.44023129032149,LOW
247,29.555989176159834,LOW
248,28.8460129052538,LOW
249,28.132806342299514,LOW
250,27.138935680203858,LOW
255,26.039460162748416,LOW
256,24.820648078399582,LOW
257,23.36858383699256,LOW
258,23.083665361414653,LOW
259,23.050059771189993,LOW
260,23.289634145088048,LOW
261,24.24670632856811,LOW
262,25.653372995234783,LOW
263,26.826706328568115,LOW
270,26.826706328568115,LOW
271,26.82670632856811,LOW
272,26.289995781491914,LOW
273,26.289995781491918,LOW
277,26.303238232500085,LOW
285,26.34914057108362,LOW
319,25.770579499153033,LOW
335,25.822724916835195,LOW
336,26.33821801230139,LOW
